Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,6-11 months,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.2773662394976077,1.0270525802278367,1.615445499954519
All Population,Brazil,2023,12-23 months,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",3.0588046106043048,0.7273411006541349,7.727466912971274
All Population,Brazil,2023,2-4 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",2.385171868674198,0.37528118836006247,6.308375772227117
All Population,Brazil,2023,5-9 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",0.6584670843669244,0.2468969998031755,1.4501661738578084
All Population,Brazil,2023,10-14 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",0.5375140470610189,0.23773046386425015,1.1091493453652654
All Population,Brazil,2023,15-19 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",0.6429193411871905,0.30892072598641623,1.233568163983091
All Population,Brazil,2023,20-24 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",0.7613279389417613,0.40772345755098083,1.3886610542800637
All Population,Brazil,2023,25-29 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",0.9712286396818391,0.48473754752702486,1.9285551323021917
All Population,Brazil,2023,30-34 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.1722395032334865,0.6220301535097925,2.3127148853286243
All Population,Brazil,2023,35-39 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.42325087721348,0.8763973066817644,2.4143278544251925
All Population,Brazil,2023,40-44 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.8557359251535863,1.3419958373308702,2.6902486401171615
All Population,Brazil,2023,45-49 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",2.5948131990265146,2.1261112976381593,3.224542156945638
All Population,Brazil,2023,50-54 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",3.5926701774316334,3.0383315519109915,4.374516314891638
All Population,Brazil,2023,55-59 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",5.236062724065113,4.479430906336419,5.983885768446105
All Population,Brazil,2023,60-64 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",7.625216379056919,6.626504945589239,8.60574365049489
All Population,Brazil,2023,65-69 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",11.500063858986618,10.23955445012118,12.718895697913279
All Population,Brazil,2023,70-74 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",16.54873080445311,14.677466152237482,18.45249165349955
All Population,Brazil,2023,75-79 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",25.294458757603945,21.896031986297444,28.338586047664347
All Population,Brazil,2023,80-84 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",33.2054277712052,28.223498717030402,37.58372977301255
All Population,Brazil,2023,85-89 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",45.60556080954509,36.67696727246261,54.25997347786408
All Population,Brazil,2023,90-94 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",54.19296586197344,40.51190510044455,64.50615416071125
All Population,Brazil,2023,95+ years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",54.83670845629113,35.27883400311359,68.14145528365006
All Population,Brazil,2023,0-6 days,Both,Other infectious diseases,"Deaths per 100,000",38.85646081658009,34.71255367730595,42.73126643968134
All Population,Brazil,2023,7-27 days,Both,Other infectious diseases,"Deaths per 100,000",24.660990415581423,21.614700133055553,27.89629550558415
All Population,Brazil,2023,1-5 months,Both,Other infectious diseases,"Deaths per 100,000",13.130500812498386,11.565836132673278,14.598769176184017
All Population,Brazil,2023,6-11 months,Both,Other infectious diseases,"Deaths per 100,000",4.887538533861725,4.043197387998307,5.925906855174145
All Population,Brazil,2023,12-23 months,Both,Other infectious diseases,"Deaths per 100,000",2.7421112991008574,2.2653546736366375,3.2797054743940803
All Population,Brazil,2023,2-4 years,Both,Other infectious diseases,"Deaths per 100,000",1.5924090095217334,1.3347045939287707,1.8732545493118251
All Population,Brazil,2023,5-9 years,Both,Other infectious diseases,"Deaths per 100,000",0.9693680351803688,0.8366550452033081,1.116255070669125
All Population,Brazil,2023,10-14 years,Both,Other infectious diseases,"Deaths per 100,000",0.831246749683699,0.7131727701966306,0.9421203897055375
All Population,Brazil,2023,15-19 years,Both,Other infectious diseases,"Deaths per 100,000",0.8122428118082515,0.7294510374835517,0.9064214763250507
All Population,Brazil,2023,20-24 years,Both,Other infectious diseases,"Deaths per 100,000",0.9139181037930685,0.8267284959612387,0.9922226756414214
All Population,Brazil,2023,25-29 years,Both,Other infectious diseases,"Deaths per 100,000",0.9638262476675395,0.8855036720937386,1.0462300987934638
All Population,Brazil,2023,30-34 years,Both,Other infectious diseases,"Deaths per 100,000",1.0707985297477536,0.9831210908054414,1.1559994639426
All Population,Brazil,2023,35-39 years,Both,Other infectious diseases,"Deaths per 100,000",1.2155653672877218,1.1261072220060904,1.3049065049878437
All Population,Brazil,2023,40-44 years,Both,Other infectious diseases,"Deaths per 100,000",1.5274290323828061,1.4261530836474028,1.6274882631761025
All Population,Brazil,2023,45-49 years,Both,Other infectious diseases,"Deaths per 100,000",1.8720699586117304,1.7595674713330787,1.9880273915838704
All Population,Brazil,2023,50-54 years,Both,Other infectious diseases,"Deaths per 100,000",2.1198650200803426,1.9696319466498742,2.2549870345672813
All Population,Brazil,2023,55-59 years,Both,Other infectious diseases,"Deaths per 100,000",2.6866526559590995,2.5127032540558134,2.8530577316091277
All Population,Brazil,2023,60-64 years,Both,Other infectious diseases,"Deaths per 100,000",3.3272210605972234,3.1151991184038526,3.534879851149973
